Candidates_Names,Votes,Percentage,share
AMURIAT  OBOI PATRICK,337589.00,0.0326,3.26
KABULETA  KIIZA JOSEPH,45424.00,0.0044,0.44
KALEMBE  NANCY LINDA,38772.00,0.0037,0.37
KATUMBA  JOHN,37554.00,0.0036,0.36
KYAGULANYI  SSENTAMU ROBERT,3631437.00,0.3508,35.08
MAO  NORBERT,57682.00,0.0056,0.56
MAYAMBALA  WILLY,15014.00,0.0015,0.15
MUGISHA  MUNTU GREGG,67574.00,0.0065,0.65
MWESIGYE  FRED,25483.00,0.0025,0.25
TUMUKUNDE  HENRY KAKURUGU,51392.00,0.005,0.5
YOWERI  MUSEVENI TIBUHABURWA KAGUTA,6042898.00,0.5838,58.38
