District_code,District_Name,Valid_votes,Invalid_votes
70,ABIM,23588,875
40,ADJUMANI,46421,2540
111,AGAGO,63961,2572
88,ALEBTONG,65620,3207
57,AMOLATAR,51276,1908
81,AMUDAT,31207,246
58,AMURIA,56536,2216
71,AMURU,35018,3103
1,APAC,52252,3161
2,ARUA,33804,2263
136,ARUA_CITY,73323,4645
72,BUDAKA,63330,0
78,BUDUDA,45115,1432
41,BUGIRI,99590,5285
123,BUGWERI,45046,2018
109,BUHWEJU,47619,1273
82,BUIKWE,125779,5430
79,BUKEDEA,58576,3148
98,BUKOMANSIMBI,46384,1207
59,BUKWO,31920,975
89,BULAMBULI,51021,1539
73,BULIISA,26630,1696
3,BUNDIBUGYO,71773,2145
117,BUNYANGABU,56257,1636
4,BUSHENYI,84741,2674
42,BUSIA,96090,4793
60,BUTALEJA,69146,2098
99,BUTAMBALA,36587,1135
118,BUTEBO,35823,912
90,BUVUMA,21057,848
83,BUYENDE,80831,4134
74,DOKOLO,58192,2142
139,FORT_PORTAL_CITY,36352,1424
91,GOMBA,54080,1564
5,GULU,19839,2055
137,GULU_CITY,32964,1952
6,HOIMA,52732,2971
145,HOIMA_CITY,34609,1450
61,IBANDA,88759,2042
7,IGANGA,93952,3368
62,ISINGIRO,200720,2410
8,JINJA,62361,3115
138,JINJA_CITY,68295,2750
63,KAABONG,29784,3221
9,KABALE,88777,2247
10,KABAROLE,62223,3256
54,KABERAMAIDO,32822,1456
113,KAGADI,108614,5037
114,KAKUMIRO,86100,3347
129,KALAKI,34415,1563
11,KALANGALA,18741,1000
64,KALIRO,67410,3094
100,KALUNGU,55390,1387
12,KAMPALA,537980,12624
13,KAMULI,127831,5899
46,KAMWENGE,90662,1087
55,KANUNGU,85691,2604
14,KAPCHORWA,39466,1021
124,KAPELEBYONG,25776,1652
130,KARENGA,14157,673
15,KASESE,227322,6682
125,KASSANDA,83374,3490
43,KATAKWI,56246,0
47,KAYUNGA,102503,4507
131,KAZO,74503,1078
16,KIBAALE,42227,1494
17,KIBOGA,48577,2052
102,KIBUKU,59246,1414
126,KIKUUBE,63840,3246
65,KIRUHURA,76432,311
92,KIRYANDONGO,55031,4662
18,KISORO,109032,2982
132,KITAGWENDA,46670,1191
19,KITGUM,50980,4459
66,KOBOKO,47906,2933
103,KOLE,66978,3197
20,KOTIDO,38842,4846
21,KUMI,67387,3336
127,KWANIA,53182,2820
104,KWEEN,32684,1038
93,KYANKWANZI,65356,2509
84,KYEGEGWA,81529,3040
48,KYENJOJO,129255,4744
119,KYOTERA,75776,2279
85,LAMWO,33841,2837
22,LIRA,60604,2882
144,LIRA_CITY,52214,2140
94,LUUKA,60933,2450
23,LUWERO,147315,4649
105,LWENGO,85418,2687
80,LYANTONDE,32271,798
133,MADI_OKOLLO,37084,2414
67,MANAFWA,49128,1849
77,MARACHA,48306,4764
24,MASAKA,34961,1187
141,MASAKA_CITY,69248,1543
25,MASINDI,82177,4364
49,MAYUGE,117627,4487
26,MBALE,68701,2603
142,MBALE_CITY,75369,3128
27,MBARARA,56636,1419
140,MBARARA_CITY,53418,1656
106,MITOOMA,66087,1711
68,MITYANA,112617,3516
28,MOROTO,24433,2225
29,MOYO,24492,1542
30,MPIGI,84386,2558
31,MUBENDE,114626,5661
32,MUKONO,186974,4355
128,NABILATUK,16395,536
56,NAKAPIRIPIRIT,23345,1145
69,NAKASEKE,71029,2896
44,NAKASONGOLA,54956,2416
95,NAMAYINGO,57882,3110
120,NAMISINDWA,55324,3351
75,NAMUTUMBA,68491,2936
107,NAPAK,34543,2829
33,NEBBI,68563,4079
108,NGORA,43174,1769
96,NTOROKO,24526,756
34,NTUNGAMO,186849,3921
110,NWOYA,25140,1552
134,OBONGI,11999,884
115,OMORO,34445,2557
86,OTUKE,32078,1941
76,OYAM,97463,5411
50,PADER,44388,3244
121,PAKWACH,48169,0
35,PALLISA,82896,3938
36,RAKAI,81766,3195
116,RUBANDA,77167,1889
112,RUBIRIZI,48057,1306
122,RUKIGA,38212,1583
37,RUKUNGIRI,108385,4058
135,RWAMPARA,41453,747
97,SERERE,75276,3876
101,SHEEMA,80328,2201
51,SIRONKO,81891,7
38,SOROTI,62319,2991
146,SOROTI_CITY,30375,1252
45,SSEMBABULE,79757,2297
143,TEREGO,48360,4497
39,TORORO,154503,5792
52,WAKISO,561500,12518
53,YUMBE,71150,4075
87,ZOMBO,59906,4685
