WaterSource,Status,Count
Spring,Contaminated,7
Spring,Not_Contaminated,12
Borehole,Contaminated,13
Borehole,Not_Contaminated,85
Tap,Contaminated,1
Tap,Not_Contaminated,11
ShallowWell,Contaminated,15
ShallowWell,Not_Contaminated,14
OpenWell,Contaminated,0
OpenWell,Not_Contaminated,1
PSP,Contaminated,2
PSP,Not_Contaminated,11
Resevoir,Contaminated,0
Resevoir,Not_Contaminated,4
Water_Supply_System,Contaminated,0
Water_Supply_System,Not_Contaminated,2
Kiosk,Contaminated,1
Kiosk,Not_Contaminated,1
Rwenzori_Bottled_Water,Contaminated,0
Rwenzori_Bottled_Water,Not_Contaminated,1
Raintank,Contaminated,1
Raintank,Not_Contaminated,0
Hand_dug_well,Contaminated,1
Hand_dug_well,Not_Contaminated,0
